Job Title,Company/Organization,Location,Job Link
"Research Scientist, Humanity, Ethics and Alignment",Google,"London, UK",https://boards.greenhouse.io/deepmind/jobs/6351433
"EU AI Policy, Co-Lead",Pour Demain,Brussels or remote,https://form.jotform.com/242824066874363
Risk Management - AI Governance & Integration Lead - Vice President,JPMorganChase,"Newark, Delaware",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210559367
"Data Privacy and AI Governance Program Specialist (Bangkok-based, Relocation Provided)",Agada,"Bangkok, Thailand",https://careersatagoda.com/job/6247163-data-privacy-and-ai-governance-program-specialist-bangkok-based-relocation-provided/?gh_jid=6247163&gh_src=208785d61
Senior Counsel (AI Governance and Technology Policy),ByteDance,"London, United Kingdom",https://jobs.bytedance.com/en/position/7372586626801568009/detail?spread=BSPP2KS
AI Governance Lead,Swift,"London, United Kingdom",https://swift.wd3.myworkdayjobs.com/en-US/Join-Swift/job/London-United-Kingdom/AI-Governance-Lead_2024-13688?source=Linkedin
Head of Information Security,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4387817101
Technical advisor - Protocols,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4403452101
Psychological and Social Risks (Societal Impacts) Workstream Lead,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4399639101
Systemic Safety and Responsible Innovation (Societal Impacts) Workstream Lead,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4399653101
Crime and Social Destabilisation (Societal Impacts) Workstream Lead,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4399317101
Evaluations Technical Program Manager and Strategy Lead,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4391608101
ML Research Scientist - Safety Cases,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4380875101
Interpretability Researcher - Autonomous Systems Team,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4387417101
Risk Modelling Researcher – Autonomous Systems Team,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4380900101
Research Engineer - Autonomous Systems Team,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4380868101
Research Scientist - Autonomous Systems Team,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4380871101
Manager - Autonomous Systems Team,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4380746101
"Research Scientist/Research Engineer/Security Researcher – Safeguards, Controls, & Mitigations",Aisi,London,https://boards.eu.greenhouse.io/aisi/jobs/4390343101
Research Engineer - General Application,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4380817101
Research Scientist - General Application,AISI,London,https://boards.eu.greenhouse.io/aisi/jobs/4380738101
Researcher / Senior Researcher - AI Policy and Standards,Institute for AI Policy and Strategy,"This role is fully remote, and we are able to legally hire in most countries, though we have a preference for one of our two roles to be based in Washington DC.",https://careers.rethinkpriorities.org/postings/8457d224-4e31-477a-9cbe-84b2f86f897d?token=vVPxvrQea1sRUBejg4asx3ZH
Responsible AI Leader,Insurance client,"Atlanta, Georgia",https://grnh.se/09988d422us
Data Scientist Contractor,Planned Parenthood Federation of America,Remote,https://docs.google.com/document/d/1caliNL0TrKvT-lJvUid_MB1hNn0RmhfrjKCP1bmTw9w/edit?usp=sharing
The CHAI Research Fellowship,University of California: Center for Human-Compatible AI,PostDoc/Fellowship/Residency,https://humancompatible.ai/jobs#chai-internship
Microsoft Visiting Professor,Princeton University,"Princeton, NY",https://spia.princeton.edu/sites/default/files/2024-06/The%20Princeton%20AI%20Dialogues_SPIA%20DC_Project%20Liaison_2024-25_Job%20Description.pdf
"Manager, Federal Technology and Innovation",Partnership for Public Service,"Washington, D.C.",https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=45713b53-21b1-4127-847f-73f3b4916607&ccId=19000101_000001&source=CC2&lang=en_US&selectedMenuKey=CareerCenter&jobId=532527
Policy and Advocacy Manager - Technology Threats and Opportunities,WITNESS,Remote,https://witness.bamboohr.com/careers/57
Associate Director - Technology Threats and Opportunities,WITNESS,"Remote, multiple countries",https://witness.bamboohr.com/careers/56
Team Leader - AI Opportunities,UK Government,"Birmingham, Cardiff, Darlington, Edinburgh, London, Salford",https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1zY29yZSZzZWFyY2hwYWdlPTEmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xOTIxMjIwJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTk0MzU1MzU3JnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzI1Mjc0OTEyLTAwNDZkNTg3ODE5NzY5ZTFkYWE5ZjYwZWNhZjQzZGRhYmJmZTk5OGY=
Senior Content Adversarial Red Team Analyst,Google,"Hyderabad, Telangana, India",https://www.google.com/about/careers/applications/jobs/results/87121258415563462
Chief Academic AI Officer,City University of New York (CUNY),"New York, New York",https://www.rfcuny.org/careers/postings?pvnID=VA-2408-006417
Responsible AI Risk Manager,MetLife,Remote,https://www.metlifecareers.com/en_US/ml/JobDetail/Responsible-Use-of-AI-Program-Manager/3320?&utm_source=linkedin.com&utm_medium=job_posting&utm_campaign=2016_media_gta&utm_content=&utm_term=
Presidential Innovation Fellows,Presidential Innovation Fellows,Mid-Senior,https://presidentialinnovationfellows.gov/apply/
Presidential Innovation Fellowship (PIF),GSA/TTS,Remote,https://presidentialinnovationfellows.gov/apply/
"Senior Research Associate - ELSA, Safe and Ethical AI Programme",The Alan Turing Institute,London,https://cezanneondemand.intervieweb.it/turing/jobs/senior-research-associate-elsa-safe-and-ethical-ai-programme-45299/en/
"Research Assistant-ELSA, Safe and Ethical AI Programme",The Alan Turing Institute,London,https://cezanneondemand.intervieweb.it/turing/jobs/research-assistant-elsa-safe-and-ethical-ai-programme-45300/en/
Program Manager,IMC,"Seattle, Vancouver",https://www.imcva.com/about-imc/careers/program-manager-imc0pgm
"Director of AI & Democracy, Aspen Digital",Aspen Institute,"Washington, D.C.",https://aspeninstitute.hrmdirect.com/employment/job-opening.php?req=3094474&req_loc=211416&&&nohd#job
AI Fellow,City of Long Beach,"Long Beach, CA (Remote, but must be a CA resident)",https://www.governmentjobs.com/careers/longbeach/jobs/4607925/ai-fellow-administrative-analyst-ii-non-career?pagetype=jobOpportunitiesJobs
AI Accountability Fellowship,Pulitzer Center,Remote,https://pulitzercenter.org/blog/open-call-proposals-pulitzer-centers-ai-accountability-fellowships-2024-2025
UK Public Policy Lead,Ada Lovelace Institute,London,https://app.beapplied.com/apply/ousmkhmyhr?utm_source=alltech
Horizon Fellowship,Horizon Institute for Public Service,Remote,https://horizonpublicservice.org/programs/become-a-fellow/
Chief Artificial Intelligence Officer (CAIO) - SL (Open to both U.S. Citizens and Federal Employees),US Department of Transportation,"Washington, DC",https://www.usajobs.gov/job/799207400
Artificial Intelligence (AI) Technology Expert,US Department of Homeland Security,Multiple locations,https://www.usajobs.gov/job/798685200
Visiting Faculty: AI & society Academic Year 2025-2026,Sciences Po,Ph.D.,https://www.sciencespo.fr/recherche/sites/sciencespo.fr.recherche/files/sciencespo-tiered-appel-candidatures-professeurs-invites-ia-societe-25-26-fr.pdf
Application Form: Red Teaming Project Manager with Humane Intelligence,Humane Intelligence,"New York, New York",https://docs.google.com/forms/d/e/1FAIpQLSeOXa2QFr5U3dmVKtj1_M98_QcmqWtlm5G8PqaEVF6vdIyIxg/viewform
"Associate/Senior Associate, European AI Governance",The Future Society,"Brussels, Belgium",https://thefuturesociety.org/work-with-us/
Technical Advisor on Artificial Intelligence to EMEIA Public Policy-Freelancer,EY,"Brussels, Belgium",https://careers.ey.com/ey/job/Brussel-Technical-Advisor-on-Artificial-Intelligence-to-EMEIA-Public-Policy-Freelancer-1040/1089679101/
Research Manager,MATS,London:Berkeley,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/California---San-Francisco/Sr-Director--Responsible-AI-Testing--Evaluation--and-Alignment_JR260388
"Senior Vice President, Artificial Intelligence & Machine Learning",Visa,"Foster City, California",https://jobs.smartrecruiters.com/Visa/743999996974648-senior-vice-president-artificial-intelligence-machine-learning
"Sr. Director, Responsible AI Testing, Evaluation, and Alignment",Salesforce,"San Francisco, Palo Alto, California",https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/California---San-Francisco/Sr-Director--Responsible-AI-Testing--Evaluation--and-Alignment_JR260388
Program Associate,Institute for Law & AI,Remote,https://docs.google.com/document/d/1s__6371bt6c8zbl3bJgwMimL5Xvh-eNqpx_cVGre-LE/edit
(Senior) Research Fellow,Institute for Law & AI,Remote,https://docs.google.com/document/d/19M1_TgUk_siC9GetxA0knFZFx6orDTH5DLAuo0wPsLU/edit#heading=h.fm6hg0sdth0f
(Senior) Research Scholar (General Track),Institute for Law & AI,Remote,https://docs.google.com/document/d/1dBX1XSSGaF3iDExRWDx0WuKoG091WhGOglgBX91Ubw4/edit
(Senior) Research Scholar (Special Projects Track),Institute for Law & AI,Remote,https://docs.google.com/document/d/1NcScMri3Bh6PGLpAHKLsp8_xv7eXMr7_rRGn_2rf2rc/edit#heading=h.s9huu1uchnzc
Director of Programs,Institute for Law & AI,Remote,https://docs.google.com/document/d/1ZxP3e9md9tyAtT001lVNNx_ffVCxqBybpbt9fUK3Eis/edit
Chief of Staff,Institute for Law & AI,Remote,https://docs.google.com/document/d/1EIczd7LF6ermY5hY-1nc6clvLLJLWga_AM64FxjEj68/edit#heading=h.s9huu1uchnzc
AI Policy Researcher (Contractor),The Centre for Long-Term Resilience,"Westminster, London",https://www.longtermresilience.org/post/expression-of-interest-ai-policy-researcher-contractor
Google Academic Research Awards,undefined,Ph.D.,https://research.google/programs-and-events/google-academic-research-awards/
Head of Operations,AI and Democracy Foundation,"San Francisco, California",https://docs.google.com/document/d/e/2PACX-1vSk0Ajdb6ox7aT6ebz3md4i6csHZZsin-h8aSNxdd5Apt5zkCwB-NPTylVHJYzl0Op3WUDxUf3h2J3K/pub
Director of AI Strategy,AI and Democracy Foundation,"San Francisco, California",https://ai-dem.org
Irène Curie Fellowship,Eindhoven University of Technology,"Eindhoven, Netherlands",https://jobs.tue.nl/en/vacancy/phd-on-preserving-human-capabilities-extending-wellbeing-1090853.html
AI Strategy and Governance Lead,Lam Research,"Fremont, California",https://careers.lamresearch.com/job/Fremont-AI-Strategy-and-Governance-Lead-CA-94538/1170726700/
"Machine Learning Engineer, Responsible AI",Grammarly,"San Francisco, California",https://www.linkedin.com/jobs/view/3912094806/
"Senior Counsel (AI Governance and Technology Policy), London",Byte Dance,"London, United Kingdom",https://jobs.bytedance.com/en/position/7372586626801568009/detail
