Job Title,Company,Location,Job Description,Job link
Computational Biologist,Valthos,"New York, NY, ▪ San Francisco Bay Area, ▪ ...","In this role, you'll bridge machine learning and biology by building robust data and evaluation frameworks for assessing biological threats and designing precision biologics.
Design evaluation frameworks and wet-lab experiments to assess model performance on real-world biological security problems.
Collaborate with AI and software engineers to design, train, and deploy specialized biological models and analysis tools.
Communicate results and stay current with state-of-the-art methods at the intersection of AI and biology.",https://jobs.ashbyhq.com/valthos/dd6c0d36-e5ae-4ff5-9d5a-34b562a5e694
Applied AI Engineer,Valthos,"New York, NY, ▪ San Francisco Bay Area, ▪ ...","In this role, you'll develop and apply ML methods for assessing biological threats and designing precision biologics.
Contribute to Valthos-wide research and development roadmap execution.
Adapt and post-train biological frontier models for key biological security tasks.
Develop evaluation frameworks to rigorously assess model performance.
Collaborate with computational biologists to create datasets and with engineers to build model training infrastructure.",https://jobs.ashbyhq.com/valthos/ace82983-1564-47d0-a328-74c3bd9d03c8
"Fellows, Center on AI, Security, and Technology",RAND Corporation,"Washington, DC, ▪ San Francisco Bay Area, ▪ ...","In this fellowship, you'll conduct research at the intersection of technology and security issues.
Perform research relating to RAND CAST's focus areas including AI security, biosecurity, and technology policy.
Collaborate with RAND policy experts who will provide mentorship throughout your fellowship.
Contribute to client-sponsored research projects for up to one day per week.",https://www.rand.org/global-and-emerging-risks/centers/ai-security-and-technology/fellows.html
"Fellow in Residence, AI Institute",Schmidt Sciences,"New York, NY, ▪ ...","In this 12-18 month fellowship, you'll split your time between supporting the AI Institute and pursuing research projects aligned with the Institute's priorities.
Conduct research in specialized AI domains such as multi-agent systems, scientific discovery, hardware verification, or labor market impacts.
Contribute to the AI Institute by assessing research proposals and designing grantmaking programs.
Leverage Schmidt Sciences' network to collaborate with stakeholders in the AI ecosystem.",https://jobs.lever.co/schmidt-entities/c42b4c52-d92a-4bd6-bac6-6b2d94159b35
"Red Teaming Lead, Responsibility",Google DeepMind,"New York, NY, ▪ ...","In this role, you'll lead Google DeepMind's frontier risk red teaming program to identify vulnerabilities in advanced AI models.
Manage end-to-end responsibility and safety red teaming initiatives across emerging risk areas like CBRNe and cyber.
Partner with external specialists to design and execute novel red teaming exercises.
Collaborate with product and engineering teams to develop innovative red teaming tools and infrastructure.
Communicate findings and recommendations to stakeholders across Google DeepMind and beyond.",https://boards.greenhouse.io/deepmind/jobs/7336899
Software Engineer,Valthos,"New York, NY, ▪ San Francisco Bay Area, ▪ ...","In this role, you'll design and implement a platform that brings frontier computational biology methods to scientific and technical end users.
Build high-scale, data/GPU intensive APIs in collaboration with AI Engineers and Computational Biologists.
Develop interactive workflow UIs and data visualization tools for life-science users.
Create distributed systems that efficiently process large-scale user data using both CPUs and GPUs.
Maintain secure cloud infrastructure for scaling storage, compute, and search systems.",https://jobs.ashbyhq.com/valthos/58637d53-f949-49fa-b318-88a93635337b
Chief of Staff,Goodfire,"San Francisco Bay Area, ▪ ...","In this role, you'll serve as Chief of Staff, making the CEO and leadership team more effective through high-volume, diverse support activities.
Lead recruiting efforts, host events, and support fundraising initiatives.
Plan company offsites, conduct new customer outreach, and facilitate goals planning.
Apply your technical background to understand developments in AI and mechanistic interpretability.
Demonstrate excellent communication skills while managing multiple priorities in a fast-paced startup environment.",https://job-boards.greenhouse.io/goodfire/jobs/4499050008
Nuclear Engineer,Google DeepMind,"San Francisco Bay Area, ▪ ...","In this role, you'll work as a nuclear engineer conducting radiological and nuclear safety evaluations for Google DeepMind's AI systems.
Design and execute safety evaluations to test cutting-edge AI models for potential nuclear risks.
Analyze evaluation results and communicate findings clearly to inform decision-makers.
Collaborate with subject-matter experts in chemistry, biology, nuclear physics, and AI ethics.
Contribute to harm frameworks and develop mitigation strategies for responsible AI deployment.",https://boards.greenhouse.io/deepmind/jobs/7339193
Tech Journalism Fund,Omidyar Network,"USA, ▪ ...","The Tech Journalism Fund provides project funding from $5,000 to $25,000 to support reporting costs for journalists working on a singular, time and resource intensive reporting project.
Costs covered may include funding for travel, research and fact-checking support, multimedia enhancement, access to data, and stipends.
Potential projects include topics related to how technology and society intersect.
Priority areas include legislation on regulating AI, investigative pieces on the AI industry, AI's impact on families, and how workers are contending with technological advances.",https://omidyar.com/where-we-focus/tech-journalism-fund/
"Senior Technical Program Manager, Security",OpenAI,"San Francisco Bay Area, ▪ New York, NY, ▪ Seattle metro area, ▪ Remote, USA, ▪ ...","In this role, you'll drive cross-functional security, privacy, and compliance initiatives at the intersection of infrastructure, product, and policy.
Execute critical security programs including vulnerability management, infrastructure hardening, and datacenter security.
Partner with multiple teams to build scalable security frameworks across insider threat, information security, and IT.
Track and enforce OpenAI's privacy and security requirements by translating commitments into engineering milestones.",https://openai.com/careers/senior-technical-program-manager-security-remote-us/
Policy Manager,"University of Chicago, Development Innovation Lab","Chicago, IL, ▪ ...","In this role, you'll manage policy projects for the Development Innovation Lab, coordinating activities from conception to completion while serving as a key liaison between stakeholders.
Coordinate day-to-day project activities, facilitate meetings, and ensure timely task completion aligned with goals.
Maintain relationships with partners and stakeholders, facilitating smooth communication across diverse groups.
Develop project materials including presentations, reports, and policy translations of research findings for various audiences.",https://uchicago.wd5.myworkdayjobs.com/en-US/External/job/Chicago-IL/Policy-Manager_JR31792
Research and Policy Lead,"University of Chicago, Development Innovation Lab","Chicago, IL, ▪ ...","In this role, you'll lead research and policy projects at the Development Innovation Lab, working closely with the Faculty Director to advance development economics initiatives.
Develop and manage research projects, collaborating with researchers on joint efforts and cross-cutting initiatives.
Perform advanced data analysis and oversee complex datasets for research and policy projects.
Lead fundraising efforts by cultivating relationships with potential donors and foundations.
Train and supervise research staff, including Research Professionals and postdoctoral scholars.",https://uchicago.wd5.myworkdayjobs.com/External/job/Chicago-IL/Research---Policy-Lead_JR31925
Chief of Staff,Evitable,"San Francisco Bay Area, ▪ ...","In this role, you'll support and amplify the CEO's work at Evitable.
Develop and implement plans for managing the CEO's time, including running daily meetings and preparing actionable items.
Represent the CEO in strategic discussions and execute delegated projects independently.
Support meeting preparation, correspondence, research, and travel logistics for the CEO.
Contribute to organizational development by assisting with various tasks and projects as the organization grows.",https://evitable.com/chief-of-staff
Communications Associate / Head of Communications,Evitable,"San Francisco Bay Area, ▪ ...","In this role, you'll craft Evitable's communications strategy from the ground up to drive awareness of AI's dangers and challenge AI inevitability.
Build and manage press relations to position Evitable as an authoritative leader in the space.
Coordinate production of prominent outputs including video and writing.
Provide messaging advice and speaker preparation for media engagements.
Develop Evitable's digital presence across social platforms while responding to breaking news stories.",https://evitable.com/communications-associate-head
Operations Associate / Head of Operations,Evitable,"San Francisco Bay Area, ▪ ...","In this role, you'll design and build operational systems that enable Evitable to deliver on its mission to raise awareness about AI dangers and prevent progress towards superintelligence.
Establish scalable work processes and contribute to strategic planning with the CEO.
Develop tracking systems for organizational deliverables and manage vendors/contractors.
Help recruit the founding team and develop onboarding and training programs.
Set up compliance systems, manage financial operations, and prepare for organizational spin-out from fiscal sponsor.",https://evitable.com/operations-associate-head
"Research Fellow / Senior Research Fellow, Frontier AI","Georgetown University, Center for Security and Emerging Technology","Washington, DC, ▪ ...","In this role, you'll lead CSET's Frontier AI research efforts, shaping priorities and overseeing research on cutting-edge AI systems and their implications.
Develop research projects related to frontier AI, both individually and collaboratively with other researchers.
Produce written publications and deliver presentations to policy-making audiences on frontier AI issues.
Supervise and mentor other researchers, including Research Analysts and Student Research Assistants.
Collaborate with data scientists to conduct empirical analyses and build CSET's data libraries.",https://cset.georgetown.edu/job/research-or-senior-fellow-frontier-ai/
"Intern, Warfare, Irregular Threats, and Terrorism Program (Spring 2026)",Center for Strategic and International Studies,"Washington, DC, ▪ ...","In this role, you'll conduct research on terrorism, irregular warfare, and military activities of U.S. competitors like China, Russia, Iran, and North Korea.
Create and analyze datasets to develop visualizations and support written analysis.
Prepare detailed background briefs on security issues for research staff.
Assist with event planning and logistics for public and private panels and conferences.
Support the publications process, including drafting webpage content and coordinating with the CSIS Dracopoulos iDeas Lab.",https://careers.csis.org/opportunities/1692
"Program Manager, Artificial Intelligence",Foundation for American Innovation,"Washington, DC, ▪ ...","In this role, you'll oversee the operational and logistical execution of FAI's artificial intelligence policy programming.
Manage logistics for the Conservative AI Policy Fellowship, including scheduling, communications, and day-of execution.
Own operations and coordination for new programs and events within the AI Policy Team.
Provide operational support to the Director of AI Policy and Senior Fellows for hiring, grantwriting, and internal systems.
Enhance team coordination by facilitating meetings, tracking priorities, and ensuring clarity across the team and collaborators.",https://www.thefai.org/posts/job-listing-program-manager-artificial-intelligence
"Research Fellow / Senior Fellow, Artificial Intelligence",Foundation for American Innovation,"Washington, DC, ▪ ...","In this role, you'll advance pragmatic AI policy through research, commentary, and collaboration with FAI's AI Policy Team.
Produce original, nonpartisan research on artificial intelligence and adjacent technologies.
Identify policy opportunities where FAI can shape debates and offer intellectual leadership.
Translate complex technical debates for policymakers, media, and the public.
Participate in FAI programming including panels, workshops, and expert convenings.",https://www.thefai.org/posts/job-listing-research-fellow-senior-fellow-artificial-intelligence
Reporters in Residence (Winter 2026),Omidyar Network,"Remote, USA, ▪ ...","In this role, you'll develop and publish in-depth reporting on digital technology issues as part of Omidyar Network's Reporters in Residence program.
Produce approximately one published piece monthly on your core technology beat.
Attend at least one in-person gathering at Omidyar Network's offices in Washington, DC or San Francisco.
Participate in regular check-ins with the Omidyar Network team approximately twice per month.
Leverage Omidyar Network's resources and connections to create impactful journalism that drives national conversations on technology policy.",https://job-boards.greenhouse.io/omidyarnetwork/jobs/7329668
"Program Associate / Senior Program Associate, Fellowship",Tarbell Center for AI Journalism,"San Francisco Bay Area, ▪ London, UK, ▪ ...","In this role, you'll recruit, train, and support journalists who will hold AI companies accountable and shape public understanding of transformative AI.
Design and deliver a 10-week training program in either AI fundamentals or journalism craft for fellowship participants.
Evaluate applications and interview candidates to select top emerging journalists from thousands of applicants.
Mentor fellows through their placements at major news outlets like Bloomberg and The Guardian.
Manage program logistics, track fellow progress, and ensure smooth operations of the fellowship program.",https://www.tarbellcenter.org/program-associate-fellowship
"Program Manager / Program Director, Fellowship",Tarbell Center for AI Journalism,"San Francisco Bay Area, ▪ London, UK, ▪ ...","In this role, you'll lead our flagship fellowship program building a community of expert journalists who hold AI companies accountable and shape understanding of transformative AI.
Scale the fellowship from 15 to 30 placements annually at major news outlets while maintaining exceptional quality.
Develop strategic plans for expanding AI journalism coverage in priority areas.
Design and execute recruitment strategies to attract top emerging journalists globally.
Oversee the AI Journalism Fundamentals course and Bay Area Summit, delivering world-class education.",https://www.tarbellcenter.org/program-manager-fellowship
"Research Fellow, Artificial Intelligence",Council on Foreign Relations,"New York, NY, ▪ ...","In this role, you'll conduct original research and contribute to advancing CFR's work on AI and digital governance under a new program.
Facilitate multi-stakeholder dialogues and develop policy recommendations at the intersection of technology, security, and foreign affairs.
Serve as a critical bridge between technical communities and policymakers, translating complex concepts for diverse audiences.
Build networks to advance digital governance solutions when traditional channels are insufficient.",https://careers-cfr.icims.com/jobs/2826/research-fellow%2c-artificial-intelligence/job?mode=view&mobile=false&width=1905&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240
"Expression of Interest, Movement Building",Evitable,"San Francisco Bay Area, ▪ ...",Express interest in future roles contributing to movement building strategies and partnerships at Evitable.,https://form.jotform.com/252827895601163
Research Fellow / Senior Research Fellow,Forethought,"Oxford, UK, ▪ San Francisco Bay Area, ▪ Remote, Global, ▪ ...","In this role, you'll conduct research on navigating the transition to superintelligent AI systems.
Lead your own research projects or collaborate with senior researchers on important questions related to the intelligence explosion.
Develop original thinking in pre-paradigmatic areas, with freedom to pursue directions you consider most impactful.
Engage with a collaborative team of researchers through seminars, discussions, and feedback sessions.
Translate research into publications, policy influence, and organizational change with support from the impact team.",https://www.forethought.org/careers/researcher
"Senior Technical Program Manager, Security Lead",OpenAI,"San Francisco Bay Area, ▪ ...","In this role, you'll lead and grow a team of TPMs while driving strategy and execution of critical security and compliance programs at OpenAI.
Oversee program strategy for foundational security systems including access controls, infrastructure hardening, and audit readiness.
Partner with engineering teams to deliver security outcomes like RBAC, secrets management, and audit logging.
Establish scalable frameworks for vulnerability management, evidence collection, and incident response coordination.",https://openai.com/careers/senior-technical-program-manager-security-lead-san-francisco/
"Offensive Security Engineer, Hardware",OpenAI,"San Francisco Bay Area, ▪ ...","In this role, you'll challenge and strengthen OpenAI's security posture by testing hardware products and related services.
Collaborate with engineering teams to enhance security across hardware, firmware, and software.
Perform comprehensive penetration testing on diverse products.
Leverage advanced automation and OpenAI technologies to optimize offensive security work.
Present actionable findings clearly to inspire change and influence security strategy with attacker-driven insights.",https://openai.com/careers/offensive-security-engineer-hardware-san-francisco/
Senior Programs and Strategy Manager,FAR AI,"San Francisco Bay Area, ▪ Remote, Global, ▪ Remote, USA, ▪ ...","In this role, you'll shape FAR.AI's flagship AI safety events by developing content strategy and curating impactful agendas.
Identify and pitch new event ideas that catalyze progress in AI safety research and field development.
Design comprehensive event agendas, select speakers, and manage high-level stakeholders across the AI safety ecosystem.
Manage speaker content and agenda flow during events, making real-time adjustments as needed.
Connect events to FAR.AI's broader field-building efforts in research, grant-making, and communications.",https://www.far.ai/careers/senior-programs-and-strategy-manager
"Researcher, Data and Trends",Epoch AI,"San Francisco Bay Area, ▪ ...","In this role, you'll conduct research to improve humanity's knowledge of AI inputs, implications, and future trends.
Develop novel methodologies for gathering quantitative data on AI trends.
Write reports, blogs, and other publications to communicate research findings.
Create and maintain databases on AI with assistance from junior researchers.
Collaborate with the Data and Trends team to pitch, execute, and deliver impactful research projects.",https://jobs.lever.co/epoch-ai/bfae9497-e8dd-4d3d-a81c-6df03fb0f756
Machine Learning Security Research Fellow,Trail of Bits,"USA, ▪ ...","In this role, you'll conduct original security research on frontier AI/ML systems while collaborating with an AI Assurance team on high-stakes client engagements.
Pursue your own AI/ML security research interests with support from Trail of Bits' research team.
Evaluate the security of state-of-the-art AI/ML systems deployed by top AI organizations.
Design and implement new attack methodologies, defensive techniques, and evaluation frameworks for adversarial AI/ML scenarios.
Build and release AI/ML security tools that benefit the broader research community.",https://apply.workable.com/j/2744E366A7
"Security Engineer, Operating Systems",Anthropic,"San Francisco Bay Area, ▪ New York, NY, ▪ ...","In this role, you'll harden and secure the OS layer of Anthropic's infrastructure to protect AI systems against sophisticated attacks.
Design and implement hardened OS configurations for AI workloads across diverse hardware platforms.
Develop kernel security policies using SELinux, AppArmor, and custom Linux Security Modules.
Implement secure boot processes, trusted execution environments, and full-disk encryption solutions.
Create OS-level attestation systems and build security infrastructure for AI research environments.",https://boards.greenhouse.io/anthropic/jobs/4929693008
"Security Engineer, Systems Integrity",Anthropic,"San Francisco Bay Area, ▪ New York, NY, ▪ ...","In this role, you'll design and implement security architectures for bare-metal infrastructure to ensure system integrity from firmware through OS initialization.
Architect attestation systems providing cryptographic proof of system state from hardware root of trust through application layer.
Develop secure boot chains, measured boot implementations, and runtime integrity monitoring for diverse hardware platforms.
Conduct firmware vulnerability assessments and build analysis pipelines.
Collaborate with hardware vendors and infrastructure teams to implement security controls.",https://boards.greenhouse.io/anthropic/jobs/4929689008
Founding Generalist,Kairos,"San Francisco Bay Area, ▪ London, UK, ▪ Boston metro area, ▪ Remote, Global, ▪ ...","In this role, you'll take ownership of core programs that shape the AI safety talent pipeline, combining strategy, relationship-building, and execution.
Drive recruitment and outreach for AI safety programs, scaling successful initiatives through various channels.
Review applications and grant proposals with rigor, making funding recommendations for AI safety projects.
Identify priorities aligned with reducing AI risks and execute high-impact projects independently.
Collate ecosystem knowledge to build strategic relationships with key stakeholders across the AI safety field.",https://kairos-project.org/hiring/founding-generalist?utm_source=80k&utm_medium=job-board&utm_campaign=hiring-2025-q4
"Intern, Congressional and Government Affairs (Spring 2026)",Center for Strategic and International Studies,"Washington, DC, ▪ ...","In this role, you'll strengthen CSIS's relationships with Congress and promote research to Capitol Hill as part of the Congressional and Government Affairs team.
Draft and copyedit official correspondence for congressional communications.
Assist with preparation and staffing for both public and private events.
Track relevant congressional actions and legislation to support policy analysis.
Support long-term projects through background research, proposal writing, and data gathering.",https://careers.csis.org/opportunities/1694
"Intern, Trustee Chair in Chinese Business and Economics (Spring 2026)",Center for Strategic and International Studies,"Washington, DC, ▪ ...","In this role, you'll support research on Chinese business, economics, and industrial policy for a non-profit think tank.
Collect and analyze data on industrial policies, firm-level information, and government budgets in China and other economies.
Conduct research on industrial policy literature and contribute to qualitative and quantitative analysis for publications.
Draft communications materials including event summaries, newsletters, and social media content.
Provide logistical and administrative support for projects and events.",https://careers.csis.org/opportunities/1693
"Intern, China Power Project (Spring 2026)",Center for Strategic and International Studies,"Washington, DC, ▪ ...","In this role, you'll support the China Power Project's research on Chinese foreign policy, security, and Indo-Pacific relations through data-driven analysis.
Conduct research and data analysis for reports, articles, presentations, and podcast episodes.
Create datasets and data visualizations while monitoring events across the Indo-Pacific region.
Maintain the program's social media presence and assist with content proofreading and editing.
Provide logistical and administrative support for events and meetings.",https://careers.csis.org/opportunities/1696
"Intern, Global Health Policy Center (Spring 2026)",Center for Strategic and International Studies,"Washington, DC, ▪ ...","In this role, you'll support the Global Health Policy Center's research and events to shape U.S. policy approaches on global health.
Conduct research for meetings, publications, and research trips.
Provide logistical support for public and private events, including materials creation and guest management.
Attend Washington D.C. global health events and prepare summaries for staff.
Create social media content and brief staff on relevant news from various sources.",https://careers.csis.org/opportunities/1695
"Senior Program Officer, Modified Mosquito Products and Launch",Gates Foundation,"Seattle metro area, ▪ ...","In this role, you'll lead the development and operationalization of modified mosquito production and launch infrastructure for malaria eradication.
Oversee planning and potential co-investment in insectary infrastructure and mosquito production systems.
Guide investments related to regulatory frameworks for genetically modified organisms.
Facilitate cross-learning from other biologically-based control programs.
Represent the malaria team in foundation-wide working groups and act as a thought leader for innovative vector control.",https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Senior-Program-Officer--Modified-Mosquito-Products-and-Launch_B021276-1
"Distinguished Engineer, AI Safety",Google,"New York, NY, ▪ San Francisco Bay Area, ▪ ...","In this role, you'll lead the technical architecture for ensuring safety and reliability of Google's next-generation AI systems.
Architect autonomous AI agents for proactive risk identification and model stress-testing.
Design core introspection capabilities enabling AI platforms to self-analyze behavior and vulnerabilities.
Develop countermeasures to protect proprietary models from misuse, including distillation prevention.
Drive strategic roadmaps for sharing AI Safety research and tools with the broader community.",https://www.google.com/about/careers/applications/jobs/results/141056879525536454-distinguished-engineer/
"Senior Research Engineer, Responsibility",Google DeepMind,"San Francisco Bay Area, ▪ ...","In this role, you'll contribute to key projects within Google DeepMind's Responsibility portfolio, advancing responsible AI development.
Conduct high-quality research in areas related to AI safety, ethics, and responsibility.
Design, implement, and run experiments to test new ideas and hypotheses.
Collaborate with cross-functional teams to identify and address key challenges in responsible AI.
Contribute to the development of robust ML systems and research publications.",https://boards.greenhouse.io/deepmind/jobs/7349809
Board Member,Humans in Control,"Remote, USA, ▪ ...","In this role, you'll help steer a new bipartisan grassroots movement focused on AI safety by serving on its governing board.
Provide strategic guidance on movement growth, coalition building, and policy positioning.
Ensure fiscal responsibility and compliance with nonprofit regulations.
Support fundraising through personal contributions and connections to major donors.
Serve as a public ambassador while participating in quarterly board meetings and strategic planning sessions.",https://humansincontrol.org/founding-roles/board-member/
Operations Director,Humans in Control,"Remote, USA, ▪ ...","In this role, you'll build the operational backbone for a distributed, fast-scaling AI safety movement while maintaining compliance, efficiency, and security.
Establish and maintain nonprofit compliance structures for both 501(c)(3) and 501(c)(4) organizations.
Implement financial systems and develop vendor relationships for events, technology, and materials.
Create data management protocols and oversee legal compliance for political activities.
Manage reporting systems, crisis scenarios, and rapid response operations as part of the leadership team.",https://humansincontrol.org/founding-roles/operations-director/
Communications Director,Humans in Control,"Remote, USA, ▪ ...","In this role, you'll create the narrative and train the voices of a grassroots movement focused on AI safety.
Develop messaging strategies that make complex AI risks accessible across partisan lines.
Build and manage a rotating Spokes Council of diverse spokespeople from various constituencies.
Train affinity group leaders in message discipline while maintaining scientific accuracy.
Manage earned media, digital channels, and crisis communications for AI incidents or movement controversies.",https://humansincontrol.org/founding-roles/communications-director/
Grassroots Engagement Director,Humans in Control,"Remote, USA, ▪ ...","In this role, you'll design and lead the grassroots strategy for a movement focused on AI safety and existential risk reduction.
Build affinity groups and leadership structures that transform public concern into political pressure.
Develop engagement pathways for diverse constituencies including parents, faith leaders, engineers, and students.
Coordinate grassroots contributions to state legislative campaigns on AI safety.
Establish volunteer systems and build a team of regional organizers to support movement growth.",https://humansincontrol.org/founding-roles/grassroots-director/
"Data Scientist, Safety Systems",OpenAI,"San Francisco Bay Area, ▪ Seattle metro area, ▪ ...","In this role, you'll lead data-driven approaches for understanding, evaluating, and monitoring the safety of OpenAI's production systems.
Develop statistical methods to operationalize safety-related metrics across the company.
Create dashboards and tools enabling teams to independently answer safety questions.
Establish a data-driven culture within Safety Systems by defining and tracking metrics.
Collaborate with researchers and engineers to advance goals of safe, robust, and reliable AI.",https://openai.com/careers/data-scientist-safety-systems-san-francisco/
Research Fellow (Summer 2026),Institute for Law and AI,"Washington, DC, ▪ San Francisco Bay Area, ▪ ...","In this role, you'll conduct research at the intersection of AI, law, and policy as part of a paid 10-week fellowship program focused on US legal frameworks.
Develop and execute a tailored research project under mentorship from LawAI staff.
Participate in an in-person week in Washington D.C. or Berkeley and attend the Summer Institute on Law and AI.
Collaborate with experts through team meetings and presentations while receiving $1,500 weekly compensation.
Contribute to advisory projects that may influence policymakers, government agencies, and private organizations.",https://law-ai.org/srf-us/
"Technical Lead, Safety Research",OpenAI,"San Francisco Bay Area, ▪ ...","In this role, you'll set research directions and strategies to make AI systems safer, more aligned, and more robust.
Develop north star goals and challenging evaluations to track progress in new research directions.
Lead exploratory research to demonstrate feasibility and scalability of safety approaches.
Coordinate across teams to ensure different technical approaches achieve strong safety results.
Implement new safety methods in OpenAI's core model training and product launches.",https://openai.com/careers/technical-lead-safety-research-san-francisco/
AI Platform Security Engineer,Anthropic,"San Francisco Bay Area, ▪ New York, NY, ▪ ...","In this role, you'll build security for large-scale AI clusters and implement robust cloud security architecture to safeguard Anthropic's AI systems.
Design secure-by-design workflows and CI/CD pipelines across services with expertise in cloud environments and Kubernetes security.
Ship and operate secure, high-reliability services using Infrastructure-as-Code practices and GitOps workflows.
Apply deep expertise in threat modeling and risk assessment to secure complex cloud environments.",https://boards.greenhouse.io/anthropic/jobs/4942002008
"Director, Wadhwani AI Centre",Center for Strategic and International Studies,"Washington, DC, ▪ ...","In this role, you'll lead the Wadhwani AI Center at CSIS, shaping domestic and international policy debate on artificial intelligence implications for security and economics.
Develop strategic research priorities and produce high-impact analysis that influences government action and industry engagement.
Build relationships with senior leaders across industry, government, and academia to expand the Center's influence and impact.
Lead fundraising efforts, manage the Center's budget, and steward relationships with funders.",https://careers.csis.org/opportunities/1651
