Job Title,Company,Location,Job link
Director of Finance (National Office),Generation Hope,"Washington, D.C., Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/director-of-finance-national-office-in-washington-d-c-washington-d-c-us/
Director of Product Marketing,Student Achievement Partners,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/director-of-product-marketing-remote-in-new-york-city-new-york-us/
Fundraising Coordinator,Laura Taber Barbour Air Safety Foundation,Anywhere,https://careers.councilofnonprofits.org/jobs/fundraising-coordinator-remote-in-anywhere/
Chief Financial Officer,Family Centers,"Greenwich, Connecticut, US",https://careers.councilofnonprofits.org/jobs/chief-financial-officer-in-greenwich-connecticut-us/
Director of Finance and Operations,Empowered Network,Anywhere,https://careers.councilofnonprofits.org/jobs/director-of-finance-and-operations-remote-in-anywhere/
"YMCA of Honolulu, President & Chief Executive Officer",Inkinen Executive Search,"Honolulu, Hawaii, US",https://careers.councilofnonprofits.org/jobs/ymca-of-honolulu-president-chief-executive-officer-in-honolulu-hawaii-us/
Grants & Contracts Analyst,Para Los Ninos,"Los Angeles, California, US",https://careers.councilofnonprofits.org/jobs/grants-contracts-analyst-in-los-angeles-california-us/
"Chief Development Officer, The BASE",Third Sector New England,"Boston, Massachusetts, US",https://careers.councilofnonprofits.org/jobs/chief-development-officer-the-base-in-boston-massachusetts-us/
Production & Project Coordinator,Trinity Direct,"Butler, New Jersey 07405, US",https://careers.councilofnonprofits.org/jobs/production-project-coordinator-in-butler-new-jersey-07405-us/
Executive Director,Alley Cat Advocates,"Louisville, Kentucky, US",https://careers.councilofnonprofits.org/jobs/executive-director-in-louisville-kentucky-us/
San Francisco Village Executive Director,San Francisco Village,"San Francisco, California, US",https://careers.councilofnonprofits.org/jobs/san-francisco-village-executive-director-in-san-francisco-california-us/
"Manager, Corporate Partnerships",Share Our Strength,"Washington, D.C., Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/manager-corporate-partnerships-in-washington-d-c-washington-d-c-us/
Senior Internal Communications Specialist,"ElectriCities of North Carolina, Inc.","Raleigh, North Carolina, US",https://careers.councilofnonprofits.org/jobs/senior-internal-communications-specialist-in-raleigh-north-carolina-us/
Chief Executive Officer,American Counseling Association,"Alexandria, Virginia, US",https://careers.councilofnonprofits.org/jobs/chief-executive-officer-in-alexandria-virginia-us/
Chief Financial Officer,Apple Tree Dental,"Saint Paul, Minnesota, US",https://careers.councilofnonprofits.org/jobs/chief-financial-officer-in-saint-paul-minnesota-us/
Community Specialist,Rcap Solutions,"Westernville, New York 13486, US",https://careers.councilofnonprofits.org/jobs/community-specialist-in-westernville-new-york-13486-us/
Housing Paralegal - Nonprofit Law Office,Legal Aid Society of Greater Cincinnati,"Cincinnati, Ohio 45202, US",https://careers.councilofnonprofits.org/jobs/housing-paralegal-nonprofit-law-office-in-cincinnati-ohio-45202-us/
"Controller, Outsourced Accounting - Nonprofit Client Industry",Wipfli LLP,"Wisconsin, US | Arizona, US | Colorado, US | Georgia, US | Illinois, US | Michigan, US | Connecticut, US | Montana, US | Washington, D.C., Washington, D.C., US | Arkansas, US",https://careers.councilofnonprofits.org/jobs/controller-outsourced-accounting-nonprofit-client-industry-remote-in-wisconsin-us/
"CFO, Outsourced Accounting - Nonprofit Industry Clients",Wipfli LLP,"Wisconsin, US | Arizona, US | Georgia, US | Michigan, US | Illinois, US | Arkansas, US | California, US | Connecticut, US | Washington, D.C., Washington, D.C., US | Montana, US",https://careers.councilofnonprofits.org/jobs/cfo-outsourced-accounting-nonprofit-industry-clients-remote-in-wisconsin-us/
Chief Human Resources Officer,Denver Zoo Conservation Alliance,"Denver, Colorado, US",https://careers.councilofnonprofits.org/jobs/chief-human-resources-officer-in-denver-colorado-us/
Executive Director,Portland Rose Festival Foundation,"Portland, Oregon, US",https://careers.councilofnonprofits.org/jobs/executive-director-in-portland-oregon-us/
Senior Development Manager,Demos,"New York, New York, US | Washington, D.C., Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/senior-development-manager-in-new-york-new-york-us/
Chief Operating and Strategy Officer,Space Center Houston,"Houston, Texas, US",https://careers.councilofnonprofits.org/jobs/chief-operating-and-strategy-officer-in-houston-texas-us/
Paralegal - Lawyers for Reporters (Non-Profit),NYC Bar Association,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/paralegal-lawyers-for-reporters-non-profit-in-new-york-city-new-york-us/
COMMUNITY PARTNERSHIP LIAISON,City of New York,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/community-partnership-liaison-in-new-york-city-new-york-us/
Community Association Manager,PRG Management,"Chicago, Illinois, US",https://careers.councilofnonprofits.org/jobs/community-association-manager-in-chicago-illinois-us/
Community Advocacy Director,American Heart Association,"Austin, Texas, US",https://careers.councilofnonprofits.org/jobs/community-advocacy-director-in-austin-texas-us/
Community Support Specialist - Emerging Adults,Thresholds,"Chicago, Illinois, US",https://careers.councilofnonprofits.org/jobs/community-support-specialist-emerging-adults-in-chicago-illinois-us/
Client Executive,Gartner,"Seattle, Washington, US",https://careers.councilofnonprofits.org/jobs/client-executive-in-seattle-washington-us-2/
Community and Content Manager,Recustom,"Los Angeles, California, US",https://careers.councilofnonprofits.org/jobs/community-and-content-manager-in-los-angeles-california-us/
Assistant Community Manager,The Michaels Organization,"Los Angeles, California, US",https://careers.councilofnonprofits.org/jobs/assistant-community-manager-in-los-angeles-california-us/
"Manager, Global Volunteer Management",SPECIAL OLYMPICS,"Washington, D.C., Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/manager-global-volunteer-management-in-washington-d-c-washington-d-c-us-2/
Development Coordinator - Nonprofit - DTLA,National Health Foundation,"Los Angeles, California, US",https://careers.councilofnonprofits.org/jobs/development-coordinator-nonprofit-dtla-in-los-angeles-california-us/
"Vice President and Executive Director, Cubs Charities",ABFE,"Chicago, Illinois, US",https://careers.councilofnonprofits.org/jobs/vice-president-and-executive-director-cubs-charities-in-chicago-illinois-us-3/
Community Manager,"Allegiance Strategies, LLC","Washington, D.C., Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/community-manager-in-washington-d-c-washington-d-c-us-2/
Grants Administrator,National Fish and Wildlife Foundation,"Washington, D.C., Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/grants-administrator-in-washington-d-c-washington-d-c-us/
"Philanthropy Coordinator Operations, Prospect Research & Development",Northwestern Medicine,"Chicago, Illinois, US",https://careers.councilofnonprofits.org/jobs/philanthropy-coordinator-operations-prospect-research-development-in-chicago-illinois-us-2/
Prevention Advocate (VPV),BUILD,"Chicago, Illinois, US",https://careers.councilofnonprofits.org/jobs/prevention-advocate-vpv-in-chicago-illinois-us-2/
Community Coordinator - Innovation Diploma Plus HS (03m404),NYC Department of Education,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/community-coordinator-innovation-diploma-plus-hs-03m404-in-new-york-city-new-york-us/
Community Wellness Manager,Alternatives,"Chicago, Illinois, US",https://careers.councilofnonprofits.org/jobs/community-wellness-manager-in-chicago-illinois-us-2/
Community Coordinator - Stem Instiute Of Manhattan (03m241),NYC Department of Education,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/community-coordinator-stem-instiute-of-manhattan-03m241-in-new-york-city-new-york-us/
Public Relations Coordinator,BDS Connected Solutions,"Chicago, Illinois, US",https://careers.councilofnonprofits.org/jobs/public-relations-coordinator-in-chicago-illinois-us/
Diverse Community Talent Program Specialist,truist,"Charlotte, North Carolina, US",https://careers.councilofnonprofits.org/jobs/diverse-community-talent-program-specialist-in-charlotte-north-carolina-us/
Outreach & Recruitment Specialist,ANEW,"Seattle, Washington, US",https://careers.councilofnonprofits.org/jobs/outreach-recruitment-specialist-in-seattle-washington-us/
"Communications Specialist, Outreach & Engagement",ICF International,"Austin, Texas, US",https://careers.councilofnonprofits.org/jobs/communications-specialist-outreach-engagement-in-austin-texas-us/
Intern - Community Relations,Aeg,"Denver, Colorado, US",https://careers.councilofnonprofits.org/jobs/intern-community-relations-in-denver-colorado-us/
"Program Officer, Communities and Governance Practice (NEW)",IREX,"Washington, D.C., Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/program-officer-communities-and-governance-practice-new-in-washington-d-c-washington-d-c-us/
Director of Operations-Community Engagement,The Salvation Army USA Southern Territory,"Charlotte, North Carolina, US",https://careers.councilofnonprofits.org/jobs/director-of-operations-community-engagement-in-charlotte-north-carolina-us/
"Nationwide Director, Community Engagement (Remote)",Autism Speaks,"Washington, D.C., Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/nationwide-director-community-engagement-remote-in-washington-d-c-washington-d-c-us/
"Community Impact Manager, Pittsburgh",American Heart Association,"Pittsburgh, Pennsylvania, US",https://careers.councilofnonprofits.org/jobs/community-impact-manager-pittsburgh-in-pittsburgh-pennsylvania-us/
COMMUNITY RESEARCH ASSOCIATE,University of Pennsylvania,"Philadelphia, Pennsylvania, US",https://careers.councilofnonprofits.org/jobs/community-research-associate-in-philadelphia-pennsylvania-us-3/
Grants Administrator Lead (Fully remote),Georgia Institute of Technology,"Atlanta, Georgia, US",https://careers.councilofnonprofits.org/jobs/grants-administrator-lead-fully-remote-in-atlanta-georgia-us/
Human Services and Public Health Program Manager,"Hennepin County, MN","Minneapolis, Minnesota, US",https://careers.councilofnonprofits.org/jobs/human-services-and-public-health-program-manager-in-minneapolis-minnesota-us/
"Communications Specialist, Outreach & Engagement",ICF International,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/communications-specialist-outreach-engagement-in-new-york-city-new-york-us/
Grants Associate,Philadelphia Museum of Art,"Philadelphia, Pennsylvania, US",https://careers.councilofnonprofits.org/jobs/grants-associate-in-philadelphia-pennsylvania-us/
GRANTS AND CONTRACTS ADMINISTRATOR- Fully Remote Available - No Experience Required,Duke University,"Durham, North Carolina, US",https://careers.councilofnonprofits.org/jobs/grants-and-contracts-administrator-fully-remote-available-no-experience-required-in-durham-north-carolina-us/
"Administrative Director, Center for Community and Equity",The University of Pennsylvania,"Philadelphia, Pennsylvania, US",https://careers.councilofnonprofits.org/jobs/administrative-director-center-for-community-and-equity-in-philadelphia-pennsylvania-us/
Volunteer Recruitment Manager,The DREAM Program,"Philadelphia, Pennsylvania, US",https://careers.councilofnonprofits.org/jobs/volunteer-recruitment-manager-in-philadelphia-pennsylvania-us/
